"kc.bodyId","kc.instance","kc.type","nb.cluster","kc.largetype","nclaw","npostsyn"
"1110937445","KCg-m_R","kcg","a","gamma",9,211
"394081878","KCab-s_R","kcabs","b","alphabeta",5,77
"630373425","KCab-c_R","kcabc","c","alphabeta",5,83
"1141290695","KCg-m_R","kcg","a","gamma",11,190
"5812979128","KCg-m_R","kcg","a","gamma",10,149
"332344760","KCab-c_R","kcabc","a","alphabeta",5,41
"5812982466","KCab-s_R","kcabs","b","alphabeta",6,87
"1203420037","KCg-m_R","kcg","a","gamma",6,131
"5812980432","KCab-c_R","kcabc","a","alphabeta",5,65
"332003629","KCab-m_R","kcabm","b","alphabeta",3,64
"939734266","KCab-m_R","kcabm","a","alphabeta",5,64
"881057369","KCg-m_R","kcg","b","gamma",2,35
"549916869","KCab-m_R","kcabm","b","alphabeta",6,89
"940079513","KCab-m_R","kcabm","a","alphabeta",6,84
"580598373","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",5,63
"363038831","KCab-m_R","kcabm","b","alphabeta",4,73
"5812982086","KCa'b'-m_R","kcabprimem","b","alphaprimebetaprime",5,79
"580611301","KCab-m_R","kcabm","b","alphabeta",6,92
"798537392","KCab-c_R","kcabc","a","alphabeta",3,32
"673029543","KCa'b'-m_R","kcabprimem","b","alphaprimebetaprime",9,63
"911400981","KCab-c_R","kcabc","b","alphabeta",3,36
"5813091313","KCab-m_R","kcabm","a","alphabeta",5,60
"5812981619","KCab-m_R","kcabm","b","alphabeta",4,74
"363029976","KCab-m_R","kcabm","a","alphabeta",7,88
"5813078507","KCab-s_R","kcabs","b","alphabeta",5,79
"847989021","KCab-m_R","kcabm","a","alphabeta",6,65
"909026992","KCab-m_R","kcabm","b","alphabeta",3,25
"5812982421","KCg-m_R","kcg","b","gamma",8,176
"5812981569","KCa'b'-m_R","kcabprimem","b","alphaprimebetaprime",4,54
"5813021989","KCab-c_R","kcabc","c","alphabeta",2,56
"363034174","KCab-m_R","kcabm","d","alphabeta",5,71
"953712141","KCab-m_R","kcabm","c","alphabeta",3,59
"5812983131","KCab-m_R","kcabm","d","alphabeta",5,64
"394073547","KCab-m_R","kcabm","c","alphabeta",5,69
"5812980892","KCab-m_R","kcabm","c","alphabeta",3,78
"693099064","KCab-m_R","kcabm","d","alphabeta",5,76
"5813062830","KCab-c_R","kcabc","c","alphabeta",3,57
"5812980806","KCab-m_R","kcabm","d","alphabeta",5,76
"332008082","KCab-m_R","kcabm","d","alphabeta",6,82
"5812981853","KCab-m_R","kcabm","c","alphabeta",3,40
"662728826","KCab-m_R","kcabm","d","alphabeta",6,99
"848287126","KCab-c_R","kcabc","b","alphabeta",4,32
"394077610","KCab-m_R","kcabm","d","alphabeta",2,33
"704742082","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",5,99
"755173211","KC part due to gap","unknown",NA,"unknown",4,20
"755868550","KCab-c_R","kcabc","d","alphabeta",4,35
"5812983106","KCab-m_R","kcabm","c","alphabeta",4,62
"5813114253","KCab-m_R","kcabm","d","alphabeta",5,77
"784844112","KCab-c_R","kcabc","d","alphabeta",4,45
