"image","side","z","roi","Area","brain.number","genotype","chat.fluo","chat.slice.fluo","chat.norm.f","mz19.fluo","mz19.slice.fluo","mz19.norm.f","kc.fluo","kc.slice.fluo","kc.norm.f","sampleid"
"15","L","10","nonmz19",3.89,"11D","dpr4",110.093,84.797,1.2983124402986,45.098,20.434,2.2070079279632,71.855,36.904,1.94707890743551,"15L"
"15","L","10","nonmz19",3.366,"11D","dpr4",133.317,84.797,1.57219005389342,31.263,20.434,1.52995008319468,60.246,36.904,1.6325059614134,"15L"
"15","L","10","nonmz19",2.197,"11D","dpr4",137.477,84.797,1.62124839322146,36.789,20.434,1.8003817167466,42.642,36.904,1.15548450032517,"15L"
"15","L","12","nonmz19",0.947,"11D","dpr4",130.894,85.318,1.53418973721841,24.745,20.9,1.18397129186603,37.255,40.472,0.920512947222771,"15L"
"15","L","12","nonmz19",3.467,"11D","dpr4",147.174,85.318,1.72500527438524,35.017,20.9,1.67545454545455,58.18,40.472,1.4375370626606,"15L"
"15","L","12","nonmz19",4.394,"11D","dpr4",130.344,85.318,1.52774326636818,35.67,20.9,1.7066985645933,47.326,40.472,1.16935165052382,"15L"
"15","L","12","nonmz19",4.435,"11D","dpr4",141.395,85.318,1.65727044703345,33.5,20.9,1.60287081339713,38.945,40.472,0.96227021150425,"15L"
"15","L","12","nonmz19",5.503,"11D","dpr4",116.385,85.318,1.36413183618932,36.407,20.9,1.74196172248804,87.7,40.472,2.1669302233643,"15L"
"15","L","16","nonmz19",4.435,"11D","dpr4",127.836,89.622,1.42639084153444,45.527,22.685,2.00692087282345,22.582,39.472,0.572101743007702,"15L"
"15","L","8/","nonmz19",2.399,"11D","dpr4",125.118,89.03,1.40534651241155,30.958,21.741,1.4239455406835,78.773,31.311,2.51582510938648,"15L"
"02","R","5/","nonmz19",2.52,"15D","dpr4",149.344,93.139,1.60345290372454,62.96,31.755,1.98267989293025,97.728,76.127,1.28374952382203,"02R"
"02","R","7/","nonmz19",3.709,"15D","dpr4",156.342,102.459,1.52589816414371,50.87,34.867,1.45897266756532,229.304,93.498,2.45250165778947,"02R"
"02","R","9/","nonmz19",4.233,"15D","dpr4",152.657,110.59,1.38038701510082,46.905,38.825,1.20811332904057,184.771,106.009,1.74297465309549,"02R"
